player,PPG,RPG,APG,SPG,BPG,TOV,TS_pct,FG_pct,FT_pct,MPG,GP,seasons,first,last,era,league_TS,TS_plus,pace,P100,o_dpm,d_dpm,dpm,onoff,rTS,PtsCreated,P100_db,pt_adj_rTS,playtype_diff,db_seasons,L1_score,L1_rank,cluster,Tier
James Worthy,17.7167,5.1083,3.0667,1.125,0.65,2.0167,0.5571,0.5203,0.7669,32.6,926,12,1982-83,1993-94,1980-90s,0.535,1.0413,95,18.65,,,,,,,,,,,-0.18563358555012754,62,3,3
Paul George,19.5562,6.0062,3.6438,1.625,0.4312,2.6,0.5617,0.4353,0.8392,32.0688,937,16,2010-11,2025-26,2010s+,0.565,0.9942,99,19.75,1.952,1.663,3.615,7.244,0.691,29.339,29.943,2.677,1.972,15.0,-0.20429459877124667,63,0,4
Steve Nash,13.5167,2.9111,8.1611,0.7222,0.0944,2.7722,0.5894,0.4773,0.896,30.6056,1217,18,1996-97,2013-14,2000s,0.535,1.1017,93,14.53,4.588,-0.871,3.722,7.887,7.143,37.57,23.774,,,13.0,-0.23361297105586082,64,1,2
Dave Bing,20.3,3.7917,6.0083,1.24,0.22,2.7,0.5011,0.4412,0.7786,36.375,901,12,1966-67,1977-78,1970s,0.51,0.9825,107,18.97,,,,,,,,,,,-0.24307784815106168,65,0,4
Moses Malone,17.7905,10.9381,1.1857,0.7095,1.2095,2.8278,0.5546,0.449,0.725,30.0952,1411,21,1976-77,1994-95,1980-90s,0.535,1.0366,95,18.73,,,,,,,,,,,-0.25140101763803885,66,3,3
Chris Paul,16.2905,4.2952,8.9333,1.9381,0.1667,2.2143,0.5711,0.4596,0.8542,32.7143,1370,21,2005-06,2025-26,2010s+,0.565,1.0108,99,16.46,3.818,1.287,5.104,8.381,2.191,38.293,25.576,4.689,3.032,20.0,-0.303934938019878,67,1,2
John Havlicek,20.75,6.2875,4.8,1.22,0.3,2.5,0.491,0.439,0.8121,36.5,1270,16,1962-63,1977-78,1970s,0.51,0.9627,107,19.39,,,,,,,,,,,-0.30564700825660907,68,0,4
Billy Cunningham,20.2333,9.9111,4.1222,1.15,0.45,2.6348,0.499,0.4421,0.7228,34.0333,654,9,1965-66,1975-76,1970s,0.51,0.9784,107,18.91,,,,,,,,,,,-0.3213513952810364,69,4,5
George Mikan,22.4429,12.92,2.7571,1.1663999999999999,0.6007,2.6348,0.4786,0.4014,0.7801,32.9,439,7,1948-49,1955-56,1950-60s,0.48,0.9971,120,18.7,,,,,,,,,,,-0.3252528291739415,70,4,5
Klay Thompson,18.5462,3.4077,2.2538,0.7846,0.4923,1.5692,0.5682,0.4439,0.8553,31.1,929,13,2011-12,2025-26,2010s+,0.565,1.0057,99,18.73,1.481,-0.558,0.922,3.439,0.961,23.656,28.842,1.552,0.498,13.0,-0.3325123203673178,71,0,4
Gary Payton,16.7526,3.9526,6.8684,1.8105,0.2158,2.2632,0.5199,0.4603,0.7248,35.7684,1415,19,1990-91,2006-07,2000s,0.535,0.9718,93,18.01,1.194,-0.726,0.467,-1.577,-1.509,28.646,21.79,,,7.0,-0.349371162881351,72,0,4
Elvin Hayes,20.95,12.475,1.8438,0.9727,1.9818,2.3857,0.4922,0.4524,0.6694,38.3625,1303,16,1968-69,1983-84,1970s,0.51,0.9651,107,19.58,,,,,,,,,,,-0.3753288997121062,73,4,5
Kevin Garnett,16.1652,9.3435,3.3739,1.2304,1.2652,1.9565,0.5388,0.4966,0.7747,32.213,1509,23,1995-96,2015-16,2000s,0.535,1.0071,93,17.38,1.856,3.594,5.452,10.782,0.791,24.482,26.143,-6.278,-0.626,16.0,-0.41701858317138213,74,4,5
Tony Parker,15.3722,2.6611,5.5889,0.8167,0.0778,2.2556,0.542,0.4862,0.7476,30.1278,1254,18,2001-02,2018-19,2000s,0.535,1.0131,93,16.53,1.176,-0.733,0.442,1.914,0.122,28.286,26.393,0.132,2.286,18.0,-0.41848382159277125,75,0,4
Walt Frazier,17.0923,5.1846,5.5615,1.6,0.2143,1.7667,0.5248,0.4752,0.8032,34.3615,825,13,1967-68,1979-80,1970s,0.51,1.029,107,15.97,,,,,,,,,,,-0.41990170265145044,76,0,4
Pau Gasol,15.5136,8.5182,2.9955,0.4591,1.4318,1.9318,0.5521,0.4896,0.7437,30.9455,1322,22,2001-02,2018-19,2000s,0.535,1.032,93,16.68,0.871,0.231,1.102,2.839,2.476,24.8,26.303,-0.725,-0.438,17.0,-0.4233645083309085,77,3,3
Dwight Howard,15.3889,11.5278,1.2889,0.8667,1.6778,2.5778,0.6095,0.5958,0.5683,31.1,1242,18,2004-05,2021-22,2010s+,0.565,1.0788,99,15.54,0.041,1.699,1.738,3.206,5.766,18.756,24.82,3.546,-2.701,17.0,-0.4441568416492618,78,3,3
