player,PPG,PPG_z,TS_pct,TS_plus,TS_plus_z,APG,APG_z,RPG,RPG_z,SPG,BPG,TOV,MPG,GP,seasons,first_year,last_year,peak_PPG,peak_PPG_z,peak_TS_z,peak_APG_z,peak_seasons,longevity,longevity_norm,o_dpm,d_dpm,dpm,onoff,rTS,PtsCreated,db_seasons,peak_score,career_score,total_score,rank,L2_dpm_z,L2_onoff_z,L2_score,L2_rank
Reggie Miller,18.1167,-0.2237,0.6107,1.0974,1.3364,2.9444,-0.5254,3.0,-1.2055,1.0667,0.2111,1.7167,34.25,1389,18,1987,2004,21.68,0.4381,1.4726,-0.3159,5,2.886978473337184,0.8726877266568639,2.356,-1.804,0.552,3.724,6.301,20.636,5.0,0.6672289953239315,0.8260279746273335,0.7559604353815386,18,-1.3837194374192556,-0.39862340596218987,-0.12013426848966241,38
Allen Iverson,24.16,0.7403,0.5232,0.936,-0.8129,5.895,0.5208,3.375,-1.0028,1.855,0.155,3.415,39.325,1064,20,1996,2009,30.6,1.6965,-0.7603,0.6493,5,2.637313650010432,0.7024671055889977,2.876,-0.91,1.965,3.364,-1.668,39.849,10.0,-0.027327866659777045,-0.016937865191652413,0.12174812823041531,51,-0.5807394919024393,-0.504191162475509,-0.14276501894596716,39
Russell Westbrook,20.425,-0.0838,0.5247,0.9023,-1.2735,7.87,1.1342,6.795,0.1966,1.51,0.35,3.835,32.61,1374,20,2008,2025,26.38,1.2086,-0.6921,1.6758,5,2.8767289814923784,0.8656996582369508,2.782,-0.218,2.567,2.446,-3.221,38.959,18.0,-0.33770341456340913,-1.0376231889856595,-0.30699873233001224,81,-0.23863480173887003,-0.7733889415844725,-0.15443932156018808,40
Jason Kidd,12.2348,-1.0854,0.5081,0.911,-1.1864,8.8261,1.6677,6.1652,-0.1265,1.9522,0.3261,2.8652,35.9739,1526,23,1994,2012,16.92,-0.3075,-1.0114,2.1802,5,2.9760272024746586,0.9334008450573962,1.208,2.038,3.248,6.341,-1.894,30.224,13.0,-1.688272885996497,-1.7879512398444153,-1.193841645940094,98,0.148364025505965,0.3687955351360209,-0.20153338210847613,41
Carmelo Anthony,22.3714,0.5068,0.5417,0.9513,-0.5945,2.6619,-0.7428,6.2571,0.0291,0.9429,0.5286,2.3619,34.4048,1337,21,2003,2021,27.24,1.507,-0.1458,-0.4481,5,2.8509884298957897,0.8481498383583757,2.275,-1.133,1.141,1.746,-0.574,28.821,18.0,0.27950532917137844,-0.04175175354636734,0.2968571061934542,37,-1.0490023900665275,-0.9786595792492595,-0.25695106644672144,42
Devin Booker,24.7636,0.4483,0.5797,0.9875,-0.1286,5.3273,0.0331,4.0636,-0.9003,0.8636,0.2909,3.0545,34.3455,731,11,2015,2025,26.4,0.6923,0.1829,0.3065,5,2.2940118622835572,0.4684051230401103,2.784,-1.501,1.283,2.843,1.104,37.794,11.0,-0.08262626628031369,0.2636088439350807,0.13145054464838943,50,-0.9683065993634931,-0.656971165651729,-0.35299306821546567,43
Klay Thompson,18.5462,-0.2479,0.5682,0.9808,-0.2375,2.2538,-1.1563,3.4077,-1.0326,0.7846,0.4923,1.5692,31.1,929,13,2011,2025,21.2,0.4089,0.4028,-0.7359,5,2.5119759717562182,0.6170123060247272,1.481,-0.558,0.922,3.439,0.961,23.656,13.0,-0.1318734391512506,-0.38633125532931856,-0.058433634969475415,63,-1.1734557574183908,-0.4821978798685675,-0.36463587373966044,44
Anthony Edwards,24.7,0.1819,0.5729,0.9574,-0.6424,4.0667,-0.8198,5.25,-0.5386,1.35,0.6167,2.8667,34.8833,439,6,2020,2025,25.78,0.3414,-0.414,-0.7397,5,1.8490307944891138,0.16501855574512467,3.332,-0.207,3.123,1.802,-0.235,34.914,6.0,-0.7753440430934248,-0.3428499127573955,-0.45752328422490607,89,0.07732899847864581,-0.9622379282360765,-0.36884838788262403,45
Draymond Green,8.6071,-1.7927,0.5337,0.9165,-1.0348,5.7714,0.2577,6.8214,0.1832,1.3143,0.9786,2.3857,28.7214,942,14,2012,2025,10.86,-1.0233,-0.3677,0.8371,5,2.5247525583352,0.6257233389753136,-0.548,2.874,2.325,6.822,-2.657,22.301,14.0,-1.748490881799598,-2.249542102736636,-1.423963403925727,100,-0.37615861406376,0.5098457875885388,-0.41028102344623696,46
Hakeem Olajuwon,21.0056,0.1957,0.5454,0.9726,-0.308,2.4056,-0.6394,10.8389,1.0269,1.7167,2.9944,2.8944,35.15,1238,18,1984,2001,26.26,0.9642,0.2753,-0.2732,5,2.7786677683161636,0.7988418591000744,-2.03,2.735,0.705,0.836,-1.9,12.106,2.0,0.18512515588960368,-0.07820822911758718,0.2288684810295406,41,-1.296772564337817,-1.2455114082134824,-0.42282813235714567,47
Pau Gasol,15.5136,-0.4576,0.5521,0.9781,-0.0635,2.9955,-0.5803,8.5182,0.8321,0.4591,1.4318,1.9318,30.9455,1322,22,2001,2018,18.08,0.1191,-0.0754,-0.3104,5,2.8403613373215033,0.8409043230549512,0.871,0.231,1.102,2.839,2.476,24.8,17.0,-0.6932406171630068,-0.4253920187030625,-0.3060570495814319,80,-1.071165318499051,-0.6581441407240992,-0.4927697442324469,48
Tony Parker,15.3722,-0.5189,0.542,0.9619,-0.4135,5.5889,0.4662,2.6611,-1.2337,0.8167,0.0778,2.2556,30.1278,1254,18,2001,2018,18.96,0.1942,-0.111,1.1062,5,2.790716106832338,0.80705637501678,1.176,-0.733,0.442,1.914,0.122,28.286,18.0,-0.6637111253483607,-0.7405684059107642,-0.39261480944405364,86,-1.4462302612032965,-0.9293946262097107,-0.6574500662040832,49
Gary Payton,16.7526,-0.4426,0.5199,0.9408,-0.8086,6.8684,0.9681,3.9526,-0.8783,1.8105,0.2158,2.2632,35.7684,1415,19,1990,2006,22.58,0.6289,-0.2906,1.6212,5,2.9044991371553754,0.8846332552135664,1.194,-0.726,0.467,-1.577,-1.509,28.646,7.0,-0.47355215773375525,-0.9777722822730116,-0.35318111250606776,85,-1.4320232557978327,-1.9531086206208126,-0.7853676971409256,50
Scottie Pippen,15.5235,-0.6064,0.5277,0.9484,-0.6255,5.1059,0.2777,6.1588,-0.3293,1.9,0.7647,2.7,34.2235,1178,17,1987,2003,20.74,0.2625,-0.1073,0.589,5,2.7321477526812705,0.7671246718410001,-0.195,0.78,0.58,-2.226,-1.948,18.951,4.0,-0.6106339612140352,-0.9725278099796906,-0.4436503892327247,88,-1.3678075913651362,-2.1434238261128793,-0.8687922966281273,51
Ja Morant,22.6143,-0.0671,0.5542,0.9298,-0.9173,7.5714,0.7843,4.6429,-0.7775,1.0143,0.3286,3.3714,31.8286,327,7,2019,2025,24.28,0.1464,-0.8893,0.8727,5,1.6069959087785488,0.0,2.127,-1.018,1.11,1.344,-2.282,39.925,6.0,-1.2646653084782975,-0.7540988048092538,-0.8585622956819249,95,-1.0666190767693027,-1.0965435740224656,-0.9186940303787732,52
Patrick Ewing,20.5765,0.1588,0.5443,0.9712,-0.3015,1.7941,-0.88,9.7294,0.6617,0.9471,2.3941,2.9529,34.0235,1183,17,1985,2001,25.16,0.8504,0.0816,-0.7008,5,2.7361081538973675,0.7698248598198234,-3.19,0.455,-2.73,-6.12,-3.374,9.785,2.0,-0.03961662158955016,-0.10335721411019355,0.10314949693613154,54,-3.2488151070485487,-3.2853150590652804,-1.4896275584405212,53
