nba_id,year,player_name,GamesPlayed,Minutes,Pos2,TeamAbbreviation,playoffs,TS_pct,d_Points_Per100,d_Points_PerGame,rTSPct,d_Points_Created_Per100,d_Points_Created_PerGame,dpm,o_dpm,d_Assists_Per100,d_Assists_PerGame,d_dpm,netrtg_on_off,PASSING_on-ball-time%,SFC_pct,playtype_diff,pt_adj_rTS
2200,2007,Pau Gasol,59,2133,C,MEM,0,0.591,29.052,20.78,5.013,40.379,28.881,2.05,2.05,4.763,3.407,-0.01,-0.773,,,,
2225,2007,Tony Parker,77,2499,PG,SAS,0,0.57,30.626,18.558,2.891,51.993,31.506,1.76,2.4,9.001,5.455,-0.64,4.047,,,,
2397,2007,Yao Ming,48,1624,C,HOU,0,0.593,38.563,25.042,5.199,45.845,29.771,2.94,-0.38,3.016,1.958,3.32,6.14,,,,
2544,2007,LeBron James,78,3190,SF,CLE,0,0.553,35.392,27.333,1.167,53.071,40.987,5.83,4.57,7.802,6.026,1.26,9.121,,,,
2546,2007,Carmelo Anthony,65,2486,SF,DEN,0,0.546,37.351,28.938,0.482,48.153,37.308,2.33,3.2,4.944,3.831,-0.87,0.415,,,,
2547,2007,Chris Bosh,69,2658,C,TOR,0,0.573,30.5,22.623,3.155,38.12,28.275,2.94,1.85,3.419,2.536,1.09,6.151,,,,
2548,2007,Dwyane Wade,51,1931,SG,MIA,0,0.581,37.869,27.392,3.972,61.778,44.686,5.18,4.51,10.409,7.529,0.66,6.338,,,,
2730,2007,Dwight Howard,82,3024,C,ORL,0,0.616,25.495,17.598,7.514,31.731,21.902,0.71,0.65,2.792,1.927,0.05,2.002,,,,
101108,2007,Chris Paul,64,2353,PG,NOK,0,0.53,24.809,17.25,-1.146,53.573,37.25,3.13,3.03,12.787,8.891,0.1,0.631,,,,
406,2008,Shaquille O'Neal,61,1748,C,PHX,0,0.585,24.769,13.639,4.509,30.932,17.033,1.93,-0.71,2.769,1.525,2.64,2.237,,,,
467,2008,Jason Kidd,80,2906,PG,DAL,0,0.495,15.363,10.8,-4.52,46.515,32.7,2.73,0.8,14.331,10.075,1.93,0.507,,,,
708,2008,Kevin Garnett,71,2328,PF,BOS,0,0.582,30.317,18.831,4.162,43.016,26.718,7.6,3.29,5.533,3.437,4.31,12.291,,,,
